city,country,id,lat,lon,current_temp,current_humidity,current_clouds,current_wind
Diepholz,DE,2937317,52.599998,8.36667,50,93,75,11.41
Lucea,JM,3489657,18.450951,-78.17356099999999,78.8,88,20,3.36
Beyneu,KZ,610298,45.316669,55.200001,88.74,19,0,7.74
Naze,JP,1855540,28.366671000000004,129.483337,80.6,94,75,11.41
Mana,GF,3381041,5.65919,-53.776661,73.08,97,48,2.15
Fortuna,US,5563839,40.59819,-124.15728,55.98,100,90,8.05
Marienburg,SR,3383570,5.84691,-55.021591,73.4,100,40,8.97
Ixtapa,MX,4004293,20.700001,-105.199997,77,83,40,2.24
Batticaloa,LK,1250161,7.7102,81.692398,90,77,48,6.85
Dzilam Gonzalez,MX,3529654,21.283331,-88.933327,78.75,82,0,6.17
Bjornevatn,NO,780643,69.667221,29.984720000000003,45.75,100,75,5.82
Kandiari,PK,1175012,26.915581,68.521599,101.52,44,0,10.76
Grand Junction,US,5423573,39.063869,-108.550652,74.97,12,1,6.93
Te Anau,NZ,2181625,-45.416672,167.716675,35.91,97,80,2.37
Sungairaya,ID,1625908,0.7,108.900002,88.47,79,24,2.04
Bundaberg,AU,2173323,-24.85,152.350006,65.88,100,48,11.65
Manokwari,ID,1636308,-0.86667,134.083328,81.54,100,32,4.16
Sept-Iles,CA,6144312,50.200111,-66.38208,41,86,20,2.24
Launceston,AU,2160517,-41.450001,147.166672,51.8,81,90,12.75
Asosa,ET,343292,10.06667,34.533328999999995,68.85,96,0,3.83
Cabo San Lucas,MX,3985710,22.890881,-109.912376,78.8,41,5,13.78
Makokou,GA,2399371,0.57381,12.864189999999999,70.29,94,64,2.82
Wa,GH,2294206,10.06069,-2.50192,71.19,94,92,8.41
Katsuura,JP,2112309,35.133331,140.300003,78.8,69,75,11.41
Cianorte,BR,3466174,-23.66333,-52.605,54.72,82,0,2.71
Shingu,JP,1847947,33.73333,135.983337,75.2,83,75,11.41
Kettering,GB,2645753,52.398361,-0.7257100000000001,51.35,76,0,10.29
Lindi,TZ,878281,-10.0,39.716671000000005,74.34,71,0,6.4
Varna,BG,726050,43.216671000000005,27.91667,73.4,73,0,3.36
Usinsk,RU,863061,65.993889,57.528061,64.71,78,0,8.86
Kempele,FI,653252,64.913139,25.503389000000002,51.8,81,92,8.05
Alice Springs,AU,2077895,-23.700001,133.883331,60.8,25,0,10.29
Aykhal,RU,2027296,66.0,111.5,69.84,55,32,9.64
Ilulissat,GL,3423146,69.216667,-51.099998,35.6,100,92,3.36
Port Lincoln,AU,2063036,-34.73333,135.866669,58.05,95,100,12.55
Mecca,SA,104515,21.42667,39.826111,95,41,0,2.59
Pacific Grove,US,5380437,36.617740999999995,-121.916618,57.24,87,1,4.7
Providencia,MX,3991622,28.716669,-111.58332800000001,87.8,31,5,6.93
Matay,EG,352628,28.418989,30.77924,89.1,34,0,4.61
Bowen,AU,2174444,-20.01667,148.233337,75.2,64,75,17.22
Kysyl-Syr,RU,2021017,63.89860899999999,122.761673,74.52,41,0,4.61
North Bend,US,5742974,43.406502,-124.224281,57.2,87,75,3.36
Saint-Louis,SN,2246452,16.017929000000002,-16.489620000000002,69.39,96,32,10.2
Ushumun,RU,2014038,52.783329,126.53333300000001,60.93,97,76,4.72
Kikwit,CD,2314705,-5.04098,18.816191,70.65,84,0,2.48
Moranbah,AU,6533368,-22.001631,148.046616,71.1,52,80,13.89
Karratha,AU,6620339,-20.73765,116.846291,80.1,19,0,14.79
Tutrakan,BG,726141,44.049999,26.616671000000004,73.4,69,0,5.82
Bonavista,CA,5905393,48.649891,-53.114738,48.69,82,8,12.55
Hamilton,BM,3573197,32.291489,-64.777969,77,83,20,12.75
Ierapetra,GR,261814,35.009997999999996,25.735279000000002,78.8,57,0,6.93
Chuy,UY,3443061,-33.697071,-53.461619999999996,43.56,96,0,12.44
Nicoya,CR,3622716,10.14828,-85.452011,77,94,0,5.82
Antofagasta,CL,3899539,-23.65,-70.400002,57.2,71,90,12.75
Saint-Augustin,CA,6137462,51.226021,-58.65016899999999,46.08,87,0,1.14
Thompson,CA,6165406,55.7435,-97.855789,64.4,55,75,6.93
Kodiak,US,5866583,57.790001000000004,-152.407227,51.8,81,90,5.73
Vila Velha,BR,3445026,-20.329720000000002,-40.2925,64.4,93,0,9.42
Dubti,ET,338554,11.73611,41.085281,95.13,19,24,4.38
Gamba,GA,2400547,-2.65,10.0,68.67,93,8,4.83
Leshukonskoye,RU,535839,64.89894100000001,45.762199,61.47,76,8,4.94
Lagoa,PT,2267254,37.135349,-8.45319,69.8,83,40,3.36
Rio Gallegos,AR,3838859,-51.622608,-69.218132,32,97,0,18.34
Ribeira Grande,PT,3372707,38.51667,-28.700001,68,88,75,11.41
Calbuco,CL,3897334,-41.768009,-73.127296,46.4,93,90,12.75
Huarmey,PE,3939168,-10.068060000000001,-78.152222,50.04,84,0,3.27
Sitka,US,5557293,57.053059,-135.330002,53.6,93,90,8.05
Mananjary,MG,1061335,-21.216669,48.333328,72.09,100,64,4.27
Saint Pete Beach,US,4171522,27.725309000000003,-82.74121099999999,81.05,79,1,4.7
Ossora,RU,2122389,59.235279000000006,163.071945,51.66,88,0,4.72
Sangar,RU,2017215,63.924170999999994,127.47389199999999,65.34,82,44,2.15
Presidencia Roque Saenz Pena,AR,3840300,-26.785219,-60.438759,64.26,65,76,11.32
Monkey Bay,MW,926308,-14.0728,34.920052,71.82,100,0,13.67
Beipiao,CN,2038342,41.791939,120.77916699999999,86.76,45,56,12.77
Toora-Khem,RU,1489401,52.467499,96.110001,62.19,63,24,4.61
Tiznit,MA,2527089,29.69742,-9.73162,62.46,96,92,2.37
Dunedin,NZ,2191562,-45.874161,170.503616,29.88,93,0,2.04
Robertsport,LR,2274275,6.75333,-11.36861,78.93,100,80,11.77
Viedma,AR,3832899,-40.81345,-62.996681,37.8,66,12,10.98
Prudy,RU,504459,57.573799,46.271759,68.04,52,8,7.63
Santa Maria,CV,3374218,16.6,-22.9,71.6,83,75,17.22
Omsukchan,RU,2122493,62.533329,155.800003,62.64,38,0,7.63
Ostersund,SE,2685750,63.179199,14.635660000000001,44.6,81,48,18.34
Kangaba,ML,2455735,11.93333,-8.41667,77.31,70,0,13.44
Yuzhno-Kurilsk,RU,2119447,44.030559999999994,145.85556,57.06,93,88,3.38
La Ronge,CA,6050066,55.100128000000005,-105.284218,66.2,88,90,6.93
Port Moresby,PG,2088122,-9.44314,147.17971799999998,84.2,70,20,11.41
Svetlogorsk,RU,485699,54.939868999999995,20.154791,55.4,76,75,15.66
Linqiong,CN,1803365,30.415871000000003,103.460876,86,66,20,2.24
Fallon,US,5503914,39.47353,-118.777367,69.22,17,20,10.29
Karachi,PK,1174872,24.9056,67.082199,91.4,55,75,11.41
Ulaanbaatar,MN,2028462,47.907711,106.88323999999999,80.6,26,20,8.95
Yasothon,TH,1604769,15.79408,104.145103,87.8,66,20,10.29
Vaitape,PF,4033077,-16.51667,-151.75,78.75,100,76,17.25
Korhogo,CI,2286304,9.45,-5.63333,71.01,99,100,5.95
San Rafael,AR,3836669,-34.617722,-68.33006999999999,27.36,70,20,1.81
Seoul,KR,1835848,37.568259999999995,126.977829,87.19,32,48,9.17
Villazon,BO,3901501,-22.08659,-65.594223,17.19,64,8,1.14
Corning,US,4106689,36.407841,-90.579826,74.12,94,90,8.05
